model,abs_delta_expectation_value
deepseek,0.0628103421043899
deepseek,0.14708083269990524
deepseek,0.3613333584137314
deepseek,40.08129797576638
deepseek,28.344803363192
deepseek,0.04656631138730755
deepseek,9.145215284440209
deepseek,2.744589940856554
deepseek,5.921806613107844
deepseek,24.658569760773453
deepseek,2.214050277855005e-05
deepseek,1.9405285741448557
deepseek,3.512279012028047
deepseek,2.6201850210342443
deepseek,9.420105608056824
deepseek,44.88629723843354
deepseek,0.38322372880214595
deepseek,0.31113447107919273
deepseek,1.942652040156567
deepseek,10.436977051102257
deepseek,4.255940377316081
deepseek,9.249345944336866
deepseek,41.13172589513931
deepseek,1.0384130497753912
deepseek,2.737249569866784
deepseek,0.05062018254658393
deepseek,0.30102662246199735
deepseek,0.1544920150826685
deepseek,0.1781019460016227
deepseek,4.622006887716487
deepseek,2.2493117330213392
deepseek,2.1903547705825095
deepseek,9.205593655316687
deepseek,0.04549366109299019
deepseek,0.03053122397054093
deepseek,0.16742031126011514
deepseek,20.055557670052004
deepseek,8.139666749485546
deepseek,0.7134560132019829
deepseek,1.2584793757889394
deepseek,0.2566504306075916
deepseek,6.01026378382002
deepseek,0.48209719531200323
deepseek,1.824978828549029
deepseek,39.2174811642083
deepseek,27.40087441659465
deepseek,7.1057864642896424
deepseek,2.3829819524478864
deepseek,0.5228060032265046
deepseek,7.886983339428803
deepseek,0.3051966961136102
deepseek,0.41193054747302105
deepseek,0.40601278835038973
deepseek,2.7095325399346053
deepseek,3.9116244956562394
deepseek,13.496692968847336
deepseek,2.7606318276386714
deepseek,0.014580684420445765
deepseek,16.471155461336885
deepseek,10.872885527141719
deepseek,1.2019384975517837
deepseek,0.014808597671400987
deepseek,0.0949216019645566
deepseek,10.299006042041928
deepseek,1.7928189318287548
deepseek,0.4999999999696429
deepseek,2.011985584597821
deepseek,0.6408341600455427
deepseek,28.820344089850664
deepseek,17.712588413520496
deepseek,11.601730165531748
deepseek,2.679224610817677
deepseek,0.0010237289162344544
deepseek,1.9999513226063603
deepseek,2.2499054514125496
deepseek,2.9997862288175634
deepseek,0.004750492409709681
deepseek,4.68125283197254
deepseek,0.7737079775332933
deepseek,2.367123672156123
deepseek,9.813914007463213
deepseek,0.41352648877523507
deepseek,0.6184346749781978
deepseek,0.6488121992419875
deepseek,3.1731544401096614
deepseek,1.547899875482291
deepseek,3.665318113310478
deepseek,0.3537124821971061
